dependency,count
org.apache.archiva.redback:redback-authorization-rbac,1
org.apache.santuario:xmlsec,16
org.nuxeo.ecm.platform:nuxeo-platform-3d-api,1
org.nuxeo.ecm.platform:nuxeo-platform-forms-layout-demo,1
com.querydsl:querydsl-core,2
org.neo4j:neo4j-cypher-javacc-parser,2
org.eclipse.ditto:ditto-legal,1
com.microsoft.azure:applicationinsights-core,3
org.kie.kogito:kogito-addons-quarkus-process-management,1
org.kie.kogito:kogito-quarkus-test-utils,1
org.apache.nifi.minifi:minifi-c2-api,1
de.tudarmstadt.ukp.inception.app:inception-versioning,1
org.graalvm.sdk:graal-sdk,14
com.sun.faces.extensions:jsf-extensions-dynamic-faces,1
org.glassfish.fighterfish:osgi-jpa-extension,2
org.glassfish.main.bean-validator:bean-validator,1
io.cucumber:cucumber-picocontainer,2
io.debezium:debezium-connector-jdbc,1
org.carlspring.strongbox:strongbox-commons,1
io.quarkus:quarkus-micrometer-registry-prometheus,1
io.quarkus:quarkus-narayana-stm-deployment,1
io.quarkus:quarkus-resteasy-reactive,1
io.quarkus:quarkus-smallrye-metrics-deployment,1
org.apache.flume.flume-ng-sinks:flume-ng-elasticsearch-sink,2
org.wso2.carbon.identity.local.auth.api:org.wso2.carbon.api.server.local.auth.api,1
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.rest.api.server.claim.management.v1,1
io.opentracing.contrib:opentracing-rxjava-1,1
org.msgpack:jackson-dataformat-msgpack,6
com.speedment.jpastreamer:termopoptimizer-standard,1
com.oracle.oci.sdk:oci-java-sdk-ailanguage,1
org.cloudifysource:esc-config,1
jboss:jnpserver,2
org.dromara:hmily-serializer-spi,1
atg.taglib.json:json-taglib,1
